k_number,sha256,bytes
K000009,d94496d7f9de0f857674beb79de9771421285938201958cf803569270b1e4b15,10248
K000019,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K000066,1f74cced546750df02754d4c6f057293efb1b67ac861cd8508928842bdfecac7,6221
K000207,d0309659a0e2d1938688b5e37aec20de7ae0f97cedf97e7e0680e15a64e7f047,8896
K000254,2bac1c8a9e20450091edf2ac0fde33eb748359cf299d2c07732a4c7dfc6f7920,7995
K000306,bd91f5977ddf600610a29dd86fe71b0d4047cd1cb9e17926c53c6294d3bea989,7257
K000335,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K000392,555d10c878e89c27aa07d54c0c5ee2421c95e36a3a5b6a51f45dca3f9ea68605,7610
K000432,dd48b56f5b27fbec88893523e01685695dc06b60f5d0e0c5553f210855746f19,6478
K000486,328196ef37a9e23a065c4df9ec23afa30c326d921a8419b7802c6ac6cdf0c373,8230
K000506,a76642556b9b78696ce95d0fdabfbd7048d93cb7117108b9d9c186eca57697c2,7664
K000515,c3b41b62a635b87a5d64644ef659968173f9042d6289c9d2e812836d638d34da,9657
K000666,e1c48f6c8e8ba429bf2cd8584b90ec1b34a4961fa4450231f615263d0a512e6f,6892
K000682,6007f1dbb8acb09dcfe198e38c84aaa177538b588afb10236d6c73c198833c74,10659
K000684,1968b875252a51e1f3bbefdd5448ad34eccf9c811f7a763d87cb28d806ce26f8,6045
K000788,d867608476f6fb1176efeff62607b3d5a05e00aa36f946342acebb64bc8ef45a,9568
K000972,a68e6de5b974075a3c84a5eca9b5183dc85cdfe210fff51e872c4bb04dfb7637,5933
K001010,92f418490a9cc719c728f3bad189bf5fdbf0b9d8b89b4ce1f9e6774af2bd891a,6928
K001080,3faa2b0ce137628da37bdd17665a3e002157bdfbc6be0eac3bf1e5709c611406,9685
K001255,9a3966f0524f145792d2b405bc4718c941dd653f9196236ff33d4a24a9b943fe,12681
K001277,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K001335,8184d196a860978fcef75f1d812340631f38fef66c7819d0b7bdd4a080ad6ce9,10118
K001358,6f503253f4b28e248de87e7b9c701e2fe160ba3ea6372dd091f0d68c00501e55,7153
K001385,22e203d60ff65db6386787045dcc97336114d5c616032077cd757d04a11d1554,6504
K001448,d088784b7ecb87f1ea17e6f982fa968ffefcc07b79de6ecc548fc00242868da6,6
K001449,b163caf7e1c625acb322f58565eef13fb57a65bdc98ca4a8298503321cf77457,9991
K001534,6596c91f2fe375eb81bb86094bfaf69f2954b536d9ad81bbbc3f0ff50ad48d6c,7158
K001614,6cb8752b7c5cb5a54faea9eb552d600899d2e9771ad28825f1d96c4e5f87bf7a,6290
K001668,4049d566ae149a3284a4d0fc2e074bf143128ca88fa85caede6077697759c16e,8028
K001706,c33926398b517188094e93505fda493ada14905e00c1cb41fcb36bd7d8f9bd6b,7495
K001720,38a57cbe5763d001a6b0896a60160497401ef72e53bea69c071c182fc31685a7,5922
K001724,e56b1f247fdd22d9be7c67dcf26963112ab8c4d6d1bde8843099bee1b41f63c7,5648
K001922,4f5d45f25de6bbb29ffece01e4816f48659edbaabf8c7355c1eb8bea72cc08a4,5981
K001942,829fb1969ada6bc0ed56c8d67267ca888ef78be5238caf2c5ba7bbc297167613,7056
K001945,176003fa9482971d91172c91aa0d9daa9f670dfdf56d3ff33be6407df0d9beeb,5879
K001982,c2d561fea922ef493f782b8e338ac7a9f4b9d42a539445b4134444d1428669a2,6916
K001991,e7bcfa58fef819dd1c3578e4bee141ade8e162875dfdd9ee9cd4d72f76e3315f,7212
K002020,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K002070,5b34c9156df4f8021dce6f00ce90cfbca01323aba5fd9e2783d3b76291dcc4a1,6653
K002141,e74b60c6a0a7ce91e5c44f1409990bc09aae9de74b5cb9618ef06f507abdaaad,12499
K002149,1db85de5680e24fc069fd9365e6fbf97b5504b755f87b650fc3cd9c02130c6f3,8881
K002320,33788147195f3a04ab36a32deaec30180cc24630831c63226ef6cf7f3063e3b4,7563
K002362,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K002406,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K002683,975ce80efbd6f7611a1a93487ec054e2e3819b3ebc2ef6e7b97820048884a34e,9403
K002729,cba32f730a400e8cd2a01fa4f2413ac409b73c7f72e28fdb8aed99429988c6c1,5437
K002733,97a9ec67fb4925de4bd9cdadee8d1ce0dd3b08422f158a7b3643b72281c56ca1,8221
K002824,0658a12e83396abef8d997ffbc8eb9201db81ea3e4a9c0f46513a339f564d85f,13541
K002996,f204d669da92ff0da8892b8cf2c97337cd8af3dbdbd45a3749eb45fb185dd09e,7699
K002998,6c8bf7c320e828c200cdfe91b847b795d8ac80e122f47d1430df50f0e4963583,6872
K003016,d479b5bae59e47abb94e7bb68f5cc5edb6b56928b81a89b55b2e4b5ae87f8b48,9168
K003018,8250668b3593377ca882c3c1b6ebfbc2e2ed9f232163b3cf756b28cc98630622,5934
K003026,795a9ca63c2ed16de428120831511f9c8a08db68be476fd4ad1529556dba1de1,8144
K003043,d14c16f6fef7d37c2a46ca460b57decc178c1c6353d70a7f3cee6edeb59c1beb,7142
K003182,7f9ea2226e5f04e98a8de78a977dce85401007ea3ad0270c79d97d3a5053532b,8610
K003496,c235ce90145b2897d1866a50eb29bb2bec0830f958a790ae2867a1d402f71476,8872
K003641,6a3cf5192354f71615ac51034b3e97c20eda99643fcaf5bbe6d41ad59bd12167,3
K003666,ea1246de5c5f9a687d4b94f7aba4c5789fc03bf2f2c9913626eb4982ca669f6a,7525
K003780,56ecae65424f6e14a13b24c76394230be6ed8f2de4f6a5220f6055f8aa822cd3,8514
K003800,841bd2dc6cb516e7c30955dcc8ac415d529d92156b664caa800c40b253947257,7635
K003816,fc26d5c04ce0ef9706e1d74e9f226d4c3238dbea729a2ba54fe17a3b4ff18b34,6802
K003836,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
K003970,884a049d05fa3cc6cb1b8c35324488c0fbcdb1409bcb51f2a7c547994973bd96,6941
K010081,10b1b5bc851b16e3af6bf7fee51a6ea599bb48382bf736b3ded15284247a269c,11176
K010115,684fa08e1d16b314f94ccc1b6a0ea02aa9e7039199d24706838340114fc7d33d,7159
K010120,d403092a0b447d1869f667fb7e4b27eec69485865441366c8d8d8f6f76a34fba,10155
K010243,f90facccfabbdaccac395367e80f9072e00e1d361c1bd8916184c5f38afabbb4,7179
K010310,47fdbee472e3583556afcf29f659b91846ed661a1869ceebaff5191f8c0dff68,6222
K010322,53633bf47eb5e997218f968f9cb7f22bc5cf7381771a3ac0c4b1c57d2a8e9cd6,18359
K010344,a4084d85d4e311923be45d1a97beecd8d60e2cb7b46abb9f7fc815484e777b64,6757
K010367,7d5a1515393d556d7ca7dd160757caee086617187f0773e5b0a673402c88e1ca,7127
K010466,74c665ec73a7d34f8560f087a502377b36d81dd354e156dc8df939c0b227c32e,6221
K010525,043e7cc0e8a84194c4971a9078a3574453a456a640c3bfc730d61c56d7a09bda,7590
K010532,6d86175a3c99d521dcc558200659cfec3fa9d59fc6e607afaf565599966c9547,9095
K010545,7bd0f62b11aac6207500ce248c8f8d8a7848e0b3341caa87143c29a08b20db5d,7932
K010576,30eeb383cc2ad96c88a1f8865d28dee970e03c2f3c1d16766f98342c50960366,8496
K010633,c1d7d67f5eaf216f780b0071d4aca8c015626ddf3713b6a10b79ce594536703b,6886
K010657,cea5c804e3a1be2c0b2ac32db68b861c11bf33087de25b294baa117d4a56dd80,9122
K010664,0ad5153ff83900d258c1694fa61f419988937455a7ac19f31af8e3dd28742da5,9146
K010757,721507108f77d6098528590f0f0ae706bb9504a322c1a5c702d6f8e7fb9983a2,6166
K010766,b2007bf11594635c85f37a2f1f0e62ca965d77a086889c4db931b6c1f950b75f,5831
K010827,c321fc5b9e0c77a4fe31157cb73787d4d34ba8a4e0fea1c80a3b15f1678fe6f4,9468
K010988,687ef0e518c06b20fd0bb8ff9198b0bc96439294ccc05cbc8f19f4a9d54085f0,10302
K011007,7b43479bc4135a72066909271752302e79f61372ce4e8efab44f3b28d8934908,6518
K011034,78ab0e214614a06a2657a94ad1a616c99795d4e2205451c6465becdce06dbed1,6481
K011099,bc4defae252d81b2a761c6fe1e80a0c9550022c6e203f74f4113b17150c82b3b,8112
K011138,607fc0491c6308b5a22da16b8d970a638c0b767b23857838110186ab27c8c8cb,6679
K011172,e7c2fbebc13f625cdb276b7453501ef006654d7877156e8915d3088aa1009075,5782
K011258,c178990c7a5fa9042fa4fa30a38611647b696db0c18be5d7e6621b7634bd93e9,7753
K011335,9f37c84379f5c0c17dd15b754c97338d3f074c1a38235f93924a8e5d5ea8fff7,6227
K011367,8ed4cb6a2dd5b704ea37333ae7a5aa1043e8f4499e4af7937f3a4bae05dc3b1c,6752
K011406,545c38b0922de19734fbffde62792c37c2aef6a3216cfa472449173165220f7d,4
