n,device_knumber,predicate_knumber,tier,verdict
1,K022079,K020045,PROXIMITY_ONLY,YES
2,K022079,K913282,PROXIMITY_ONLY,YES
3,K022463,K994038,SECTION_HEADED,YES
4,K030501,K984296,SECTION_HEADED,YES
5,K042093,K021621,PROXIMITY_ONLY,YES
6,K050441,K002757,PROXIMITY_ONLY,NO
7,K050441,K021380,PROXIMITY_ONLY,NO
8,K050441,K033871,PROXIMITY_ONLY,NO
9,K050441,K042774,PROXIMITY_ONLY,NO
10,K050441,K921301,PROXIMITY_ONLY,YES
11,K050441,K943230,PROXIMITY_ONLY,YES
12,K050441,K974558,PROXIMITY_ONLY,NO
13,K050441,K990830,PROXIMITY_ONLY,NO
14,K050556,K021109,SECTION_HEADED,YES
15,K050556,K042035,SECTION_HEADED,YES
16,K051000,K031914,SECTION_HEADED,YES
17,K051740,K993910,SECTION_HEADED,YES
18,K053053,K043066,SECTION_HEADED,YES
19,K061389,K033355,PROXIMITY_ONLY,YES
20,K063544,K000538,SECTION_HEADED,YES
21,K063544,K002592,SECTION_HEADED,YES
22,K063544,K051531,SECTION_HEADED,YES
23,K063544,K060442,SECTION_HEADED,YES
24,K063544,K971730,SECTION_HEADED,YES
25,K063544,K971883,SECTION_HEADED,YES
26,K072326,K032064,SECTION_HEADED,YES
27,K072326,K051089,PROXIMITY_ONLY,NO
28,K072326,K052384,SECTION_HEADED,YES
29,K072326,K052746,SECTION_HEADED,YES
30,K090408,K080241,SECTION_HEADED,YES
31,K093047,K072212,PROXIMITY_ONLY,YES
32,K093047,K090675,SECTION_HEADED,YES
33,K093047,K870961,SECTION_HEADED,YES
34,K093047,K962808,SECTION_HEADED,YES
35,K093047,K970748,SECTION_HEADED,YES
36,K093047,K994143,PROXIMITY_ONLY,YES
37,K093914,K070447,PROXIMITY_ONLY,YES
38,K100214,K073285,PROXIMITY_ONLY,YES
39,K100214,K091088,PROXIMITY_ONLY,YES
40,K100214,K092336,PROXIMITY_ONLY,YES
41,K101682,K000236,SECTION_HEADED,YES
42,K101682,K000536,SECTION_HEADED,YES
43,K101682,K042673,SECTION_HEADED,YES
44,K101682,K082032,SECTION_HEADED,YES
45,K101682,K884263,SECTION_HEADED,YES
46,K103414,K003780,SECTION_HEADED,YES
47,K103414,K050979,SECTION_HEADED,YES
48,K103414,K060152,SECTION_HEADED,YES
49,K111983,K070382,SECTION_HEADED,YES
50,K111983,K082848,SECTION_HEADED,YES
51,K111983,K092336,SECTION_HEADED,YES
52,K113346,K030377,SECTION_HEADED,YES
53,K113346,K031985,SECTION_HEADED,YES
54,K113346,K052566,SECTION_HEADED,YES
55,K113346,K062505,SECTION_HEADED,YES
56,K113346,K073420,SECTION_HEADED,YES
57,K113346,K090060,SECTION_HEADED,YES
58,K113755,K092420,SECTION_HEADED,YES
59,K133153,K073439,SECTION_HEADED,YES
60,K133153,K091797,SECTION_HEADED,YES
61,K133153,K092420,SECTION_HEADED,YES
62,K133514,K072970,SECTION_HEADED,YES
63,K133514,K102293,SECTION_HEADED,YES
64,K133844,K070598,SECTION_HEADED,YES
65,K133844,K124022,SECTION_HEADED,YES
66,K133844,K993714,SECTION_HEADED,YES
67,K141549,K021932,SECTION_HEADED,YES
68,K141549,K102903,SECTION_HEADED,YES
69,K141549,K112028,SECTION_HEADED,YES
70,K141549,K130092,SECTION_HEADED,YES
71,K143595,K120918,SECTION_HEADED,YES
72,K143595,K123045,SECTION_HEADED,YES
73,K143595,K123231,SECTION_HEADED,YES
74,K143595,K140319,SECTION_HEADED,YES
75,K143595,K140770,SECTION_HEADED,YES
76,K143595,K141665,SECTION_HEADED,YES
77,K143717,K081546,PROXIMITY_ONLY,YES
78,K143717,K090692,SECTION_HEADED,YES
79,K143717,K120359,SECTION_HEADED,YES
80,K143717,K121651,SECTION_HEADED,YES
81,K160975,K150583,SECTION_HEADED,YES
82,K161225,K011182,PROXIMITY_ONLY,YES
83,K161225,K030383,PROXIMITY_ONLY,YES
84,K161225,K051704,SECTION_HEADED,YES
85,K161225,K142146,PROXIMITY_ONLY,YES
86,K161225,K162995,PROXIMITY_ONLY,YES
87,K161225,K950099,PROXIMITY_ONLY,YES
88,K161225,K955348,PROXIMITY_ONLY,YES
89,K161225,K973836,PROXIMITY_ONLY,YES
90,K161225,K983583,PROXIMITY_ONLY,YES
91,K161225,K993808,PROXIMITY_ONLY,YES
92,K161280,K142152,SECTION_HEADED,YES
93,K161280,K150619,SECTION_HEADED,YES
94,K170968,K110360,SECTION_HEADED,YES
95,K170968,K131283,SECTION_HEADED,YES
96,K170968,K142117,SECTION_HEADED,YES
97,K170968,K153008,SECTION_HEADED,YES
98,K170968,K162795,SECTION_HEADED,YES
99,K172212,K121569,SECTION_HEADED,YES
100,K172212,K162682,SECTION_HEADED,YES
101,K190123,K003016,PROXIMITY_ONLY,NO
102,K190123,K012091,PROXIMITY_ONLY,NO
103,K190123,K021346,PROXIMITY_ONLY,NO
104,K190123,K061547,PROXIMITY_ONLY,NO
105,K190123,K062693,PROXIMITY_ONLY,NO
106,K190123,K100866,PROXIMITY_ONLY,NO
107,K190123,K101575,SECTION_HEADED,NO
108,K190123,K120599,SECTION_HEADED,NO
109,K190123,K121221,PROXIMITY_ONLY,NO
110,K190123,K122382,PROXIMITY_ONLY,NO
111,K190123,K123434,PROXIMITY_ONLY,NO
112,K190123,K123688,PROXIMITY_ONLY,NO
113,K190123,K130984,PROXIMITY_ONLY,NO
114,K190123,K140676,PROXIMITY_ONLY,NO
115,K190123,K141235,PROXIMITY_ONLY,NO
116,K190123,K142119,PROXIMITY_ONLY,NO
117,K190123,K150133,PROXIMITY_ONLY,NO
118,K190123,K150302,PROXIMITY_ONLY,NO
119,K190123,K170444,SECTION_HEADED,YES
120,K190123,K171181,PROXIMITY_ONLY,NO
121,K190123,K173898,SECTION_HEADED,NO
122,K190123,K180798,PROXIMITY_ONLY,NO
123,K190123,K181598,PROXIMITY_ONLY,NO
124,K190123,K842559,SECTION_HEADED,NO
125,K190123,K932222,SECTION_HEADED,NO
126,K193593,K152943,SECTION_HEADED,YES
127,K193593,K161230,SECTION_HEADED,YES
128,K193593,K163230,SECTION_HEADED,YES
129,K193593,K170592,SECTION_HEADED,YES
130,K193593,K172341,SECTION_HEADED,YES
131,K193593,K192760,SECTION_HEADED,YES
132,K200937,K110280,SECTION_HEADED,YES
133,K200937,K131802,PROXIMITY_ONLY,YES
134,K200937,K133350,PROXIMITY_ONLY,YES
135,K200937,K142381,SECTION_HEADED,YES
136,K200937,K180210,PROXIMITY_ONLY,YES
137,K200937,K180458,PROXIMITY_ONLY,YES
138,K200937,K193365,SECTION_HEADED,YES
139,K200961,K192504,SECTION_HEADED,YES
140,K201793,K171749,SECTION_HEADED,YES
141,K201793,K181380,SECTION_HEADED,YES
142,K203167,K042992,PROXIMITY_ONLY,YES
143,K203167,K070554,PROXIMITY_ONLY,YES
144,K203167,K093736,PROXIMITY_ONLY,YES
145,K203167,K123991,PROXIMITY_ONLY,YES
146,K203167,K173960,PROXIMITY_ONLY,YES
147,K203167,K192946,PROXIMITY_ONLY,YES
