device_knumber,predicate_knumber,tier,verdict
K022079,K020045,PROXIMITY_ONLY,YES
K022079,K913282,PROXIMITY_ONLY,YES
K022463,K994038,SECTION_HEADED,YES
K030501,K984296,SECTION_HEADED,YES
K042093,K021621,PROXIMITY_ONLY,YES
K050441,K002757,PROXIMITY_ONLY,NO
K050441,K021380,PROXIMITY_ONLY,NO
K050441,K033871,PROXIMITY_ONLY,NO
K050441,K042774,PROXIMITY_ONLY,NO
K050441,K921301,PROXIMITY_ONLY,YES
K050441,K943230,PROXIMITY_ONLY,YES
K050441,K974558,PROXIMITY_ONLY,NO
K050441,K990830,PROXIMITY_ONLY,NO
K050556,K021109,SECTION_HEADED,YES
K050556,K042035,SECTION_HEADED,YES
K051000,K031914,SECTION_HEADED,YES
K051740,K993910,SECTION_HEADED,YES
K053053,K043066,SECTION_HEADED,YES
K061389,K033355,PROXIMITY_ONLY,YES
K063544,K000538,SECTION_HEADED,YES
K063544,K002592,SECTION_HEADED,YES
K063544,K051531,SECTION_HEADED,YES
K063544,K060442,SECTION_HEADED,YES
K063544,K971730,SECTION_HEADED,YES
K063544,K971883,SECTION_HEADED,YES
K072326,K032064,SECTION_HEADED,YES
K072326,K051089,PROXIMITY_ONLY,NO
K072326,K052384,SECTION_HEADED,YES
K072326,K052746,SECTION_HEADED,YES
K090408,K080241,SECTION_HEADED,YES
K093047,K072212,PROXIMITY_ONLY,YES
K093047,K090675,SECTION_HEADED,YES
K093047,K870961,SECTION_HEADED,YES
K093047,K962808,SECTION_HEADED,YES
K093047,K970748,SECTION_HEADED,YES
K093047,K994143,PROXIMITY_ONLY,YES
K093914,K070447,PROXIMITY_ONLY,YES
K100214,K073285,PROXIMITY_ONLY,YES
K100214,K091088,PROXIMITY_ONLY,YES
K100214,K092336,PROXIMITY_ONLY,YES
K101682,K000236,SECTION_HEADED,YES
K101682,K000536,SECTION_HEADED,YES
K101682,K042673,SECTION_HEADED,YES
K101682,K082032,SECTION_HEADED,YES
K101682,K884263,SECTION_HEADED,YES
K103414,K003780,SECTION_HEADED,YES
K103414,K050979,SECTION_HEADED,YES
