n,device_knumber,predicate_knumber,tier,verdict,where_in_document
1,K160652,K080398,SECTION_HEADED,YES,predicate
2,K160652,K092375,SECTION_HEADED,YES,predicate
3,K160652,K110838,SECTION_HEADED,YES,predicate
4,K160652,K122074,SECTION_HEADED,YES,predicate
5,K160652,K123850,SECTION_HEADED,YES,predicate
6,K160652,K131405,SECTION_HEADED,YES,predicate
7,K160652,K141049,SECTION_HEADED,YES,predicate
8,K160652,K150714,SECTION_HEADED,YES,predicate
9,K160652,K150875,SECTION_HEADED,YES,predicate
10,K160652,K151718,SECTION_HEADED,YES,predicate
11,K160652,K152681,SECTION_HEADED,YES,predicate
12,K163577,K022556,PROXIMITY_ONLY,YES,predicate
13,K163577,K032726,SECTION_HEADED,YES,predicate
14,K163577,K042344,PROXIMITY_ONLY,YES,predicate
15,K163577,K061699,PROXIMITY_ONLY,YES,predicate
16,K163577,K061786,PROXIMITY_ONLY,YES,predicate
17,K163577,K071535,PROXIMITY_ONLY,YES,predicate
18,K163577,K091508,PROXIMITY_ONLY,YES,predicate
19,K163577,K120030,SECTION_HEADED,YES,predicate
20,K163577,K130899,PROXIMITY_ONLY,YES,predicate
21,K163577,K143407,PROXIMITY_ONLY,YES,predicate
22,K163577,K161184,PROXIMITY_ONLY,YES,predicate
23,K163577,K932755,PROXIMITY_ONLY,YES,predicate
24,K163577,K964769,PROXIMITY_ONLY,YES,predicate
25,K243839,K010081,SECTION_HEADED,NO,compatibility
26,K243839,K013211,SECTION_HEADED,NO,compatibility
27,K243839,K032964,SECTION_HEADED,NO,compatibility
28,K243839,K041906,SECTION_HEADED,NO,compatibility
29,K243839,K050398,SECTION_HEADED,NO,compatibility
30,K243839,K051556,SECTION_HEADED,NO,compatibility
31,K243839,K051682,SECTION_HEADED,NO,compatibility
32,K243839,K060107,SECTION_HEADED,NO,compatibility
33,K243839,K070479,SECTION_HEADED,NO,compatibility
34,K243839,K071676,PROXIMITY_ONLY,NO,compatibility
35,K243839,K100269,SECTION_HEADED,NO,compatibility
36,K243839,K102975,PROXIMITY_ONLY,NO,compatibility
37,K243839,K103012,SECTION_HEADED,NO,compatibility
38,K243839,K121392,SECTION_HEADED,NO,compatibility
39,K243839,K122798,PROXIMITY_ONLY,NO,compatibility
40,K243839,K141960,SECTION_HEADED,NO,compatibility
41,K243839,K162732,SECTION_HEADED,YES,predicate
42,K243839,K173583,PROXIMITY_ONLY,NO,compatibility
43,K243839,K182502,PROXIMITY_ONLY,NO,compatibility
44,K243839,K963313,SECTION_HEADED,NO,compatibility
45,K243839,K993082,SECTION_HEADED,NO,compatibility
