device_knumber,predicate_knumber,tier,knums_in_doc
K020056,K000616,PROXIMITY_ONLY,24
K020056,K001378,PROXIMITY_ONLY,24
K020056,K003227,PROXIMITY_ONLY,24
K020056,K003970,SECTION_HEADED,24
K020056,K012001,PROXIMITY_ONLY,24
K020056,K911837,PROXIMITY_ONLY,24
K020056,K950272,PROXIMITY_ONLY,24
K020056,K960555,PROXIMITY_ONLY,24
K020056,K963369,PROXIMITY_ONLY,24
K020056,K963396,PROXIMITY_ONLY,24
K020056,K964013,PROXIMITY_ONLY,24
K020056,K964805,PROXIMITY_ONLY,24
K020056,K970896,PROXIMITY_ONLY,24
K020056,K972783,SECTION_HEADED,24
K020056,K973849,SECTION_HEADED,24
K020056,K983186,PROXIMITY_ONLY,24
K020056,K984490,PROXIMITY_ONLY,24
K020056,K990340,PROXIMITY_ONLY,24
K020056,K990987,PROXIMITY_ONLY,24
K020056,K992458,PROXIMITY_ONLY,24
K020056,K992567,SECTION_HEADED,24
K020056,K993073,PROXIMITY_ONLY,24
K020056,K993074,PROXIMITY_ONLY,24
K020056,K993453,PROXIMITY_ONLY,24
K030388,K000616,PROXIMITY_ONLY,25
K030388,K001378,PROXIMITY_ONLY,25
K030388,K003227,PROXIMITY_ONLY,25
K030388,K003970,PROXIMITY_ONLY,25
K030388,K013057,PROXIMITY_ONLY,25
K030388,K020056,SECTION_HEADED,25
K030388,K911837,PROXIMITY_ONLY,25
K030388,K950272,PROXIMITY_ONLY,25
K030388,K960555,PROXIMITY_ONLY,25
K030388,K963369,PROXIMITY_ONLY,25
K030388,K963396,PROXIMITY_ONLY,25
K030388,K964013,PROXIMITY_ONLY,25
K030388,K964805,PROXIMITY_ONLY,25
K030388,K970896,PROXIMITY_ONLY,25
K030388,K972783,SECTION_HEADED,25
K030388,K973849,SECTION_HEADED,25
K030388,K984490,PROXIMITY_ONLY,25
K030388,K990340,PROXIMITY_ONLY,25
K030388,K990987,PROXIMITY_ONLY,25
K030388,K992458,PROXIMITY_ONLY,25
K030388,K992567,PROXIMITY_ONLY,25
K030388,K993073,PROXIMITY_ONLY,25
K030388,K993074,PROXIMITY_ONLY,25
K030388,K993453,PROXIMITY_ONLY,25
K032730,K010988,PROXIMITY_ONLY,12
K032730,K012967,PROXIMITY_ONLY,12
K032730,K014072,SECTION_HEADED,12
K032730,K023437,PROXIMITY_ONLY,12
K032730,K030972,SECTION_HEADED,12
K032730,K851422,SECTION_HEADED,12
K032730,K871867,SECTION_HEADED,12
K032730,K913231,SECTION_HEADED,12
K032730,K954935,SECTION_HEADED,12
K032730,K955296,PROXIMITY_ONLY,12
K032730,K961939,PROXIMITY_ONLY,12
K032730,K994078,SECTION_HEADED,12
K042021,K001419,PROXIMITY_ONLY,17
K042021,K003728,PROXIMITY_ONLY,17
K042021,K003801,PROXIMITY_ONLY,17
K042021,K010124,PROXIMITY_ONLY,17
K042021,K012212,PROXIMITY_ONLY,17
K042021,K032126,PROXIMITY_ONLY,17
K042021,K032679,PROXIMITY_ONLY,17
K042021,K960906,PROXIMITY_ONLY,17
K042021,K974044,PROXIMITY_ONLY,17
K042021,K980244,PROXIMITY_ONLY,17
K042021,K981487,PROXIMITY_ONLY,17
K042021,K984541,PROXIMITY_ONLY,17
K042021,K990136,PROXIMITY_ONLY,17
K042021,K990137,PROXIMITY_ONLY,17
K042021,K992065,PROXIMITY_ONLY,17
K042021,K994392,PROXIMITY_ONLY,17
K042021,K994393,PROXIMITY_ONLY,17
K043339,K003659,PROXIMITY_ONLY,11
K043339,K010983,PROXIMITY_ONLY,11
K043339,K011522,PROXIMITY_ONLY,11
K043339,K031712,PROXIMITY_ONLY,11
K043339,K040500,PROXIMITY_ONLY,11
K043339,K864912,PROXIMITY_ONLY,11
K043339,K890902,PROXIMITY_ONLY,11
K043339,K901456,PROXIMITY_ONLY,11
K043339,K925098,PROXIMITY_ONLY,11
K043339,K953194,PROXIMITY_ONLY,11
