device_knumber,marker_class,k_numbers_in_text,edges_in_graph,tiers
K042091,STRONG,12,10,{'PROXIMITY_ONLY': 10}
K042989,STRONG,16,8,"{'PROXIMITY_ONLY': 7, 'SECTION_HEADED': 1}"
K050441,STRONG,9,8,{'PROXIMITY_ONLY': 8}
K061312,STRONG,9,8,{'PROXIMITY_ONLY': 8}
K073102,STRONG,14,10,{'PROXIMITY_ONLY': 10}
K082996,STRONG,9,8,{'PROXIMITY_ONLY': 8}
K093549,STRONG,12,9,"{'PROXIMITY_ONLY': 7, 'SECTION_HEADED': 2}"
K130376,STRONG,27,10,"{'PROXIMITY_ONLY': 4, 'SECTION_HEADED': 6}"
K131684,STRONG,11,7,"{'PROXIMITY_ONLY': 6, 'SECTION_HEADED': 1}"
K140043,STRONG,28,8,"{'SECTION_HEADED': 4, 'PROXIMITY_ONLY': 4}"
K141653,STRONG,28,9,{'PROXIMITY_ONLY': 9}
K171181,STRONG,36,13,"{'SECTION_HEADED': 5, 'PROXIMITY_ONLY': 8}"
K172405,STRONG,8,5,"{'PROXIMITY_ONLY': 4, 'SECTION_HEADED': 1}"
K172491,STRONG,10,3,{'SECTION_HEADED': 3}
K173776,STRONG,50,25,"{'PROXIMITY_ONLY': 16, 'SECTION_HEADED': 9}"
K180798,STRONG,101,32,"{'SECTION_HEADED': 7, 'PROXIMITY_ONLY': 25}"
K181598,STRONG,57,14,"{'SECTION_HEADED': 6, 'PROXIMITY_ONLY': 8}"
K182301,STRONG,26,12,"{'PROXIMITY_ONLY': 4, 'SECTION_HEADED': 8}"
K182718,STRONG,16,6,{'SECTION_HEADED': 6}
K190123,STRONG,50,25,"{'PROXIMITY_ONLY': 19, 'SECTION_HEADED': 6}"
K191708,STRONG,22,14,"{'PROXIMITY_ONLY': 10, 'SECTION_HEADED': 4}"
K192683,STRONG,23,9,"{'PROXIMITY_ONLY': 4, 'SECTION_HEADED': 5}"
K200959,STRONG,24,8,"{'PROXIMITY_ONLY': 6, 'SECTION_HEADED': 2}"
K201657,STRONG,106,36,"{'PROXIMITY_ONLY': 10, 'SECTION_HEADED': 26}"
K201838,STRONG,12,2,{'SECTION_HEADED': 2}
K202705,STRONG,12,3,{'PROXIMITY_ONLY': 3}
