n,device_knumber,predicate_knumber,tier,verdict
1,K173964,K023096,SECTION_HEADED,NO
2,K173964,K091196,PROXIMITY_ONLY,NO
3,K190409,K161590,SECTION_HEADED,NO
4,K192683,K181761,SECTION_HEADED,NO
5,K200854,K103233,SECTION_HEADED,YES
6,K200854,K181744,SECTION_HEADED,NO
7,K212450,K142345,SECTION_HEADED,YES
8,K212450,K163386,SECTION_HEADED,NO
9,K212450,K193174,SECTION_HEADED,NO
10,K212450,K200458,SECTION_HEADED,YES
11,K223801,K141990,SECTION_HEADED,NO
12,K223801,K162455,SECTION_HEADED,NO
13,K231699,K191380,PROXIMITY_ONLY,NO
14,K231699,K211883,SECTION_HEADED,YES
15,K231699,K230313,SECTION_HEADED,NO
16,K232792,K172480,PROXIMITY_ONLY,YES
17,K232792,K192897,PROXIMITY_ONLY,YES
18,K232792,K232628,PROXIMITY_ONLY,NO
19,K241816,K181390,SECTION_HEADED,NO
20,K243448,K232002,SECTION_HEADED,NO
21,K253197,K233980,SECTION_HEADED,NO
22,K253992,K152754,SECTION_HEADED,NO
