device_knumber,predicate_knumber,tier
K140716,K113527,SECTION_HEADED
K140716,K123231,SECTION_HEADED
K140716,K132479,SECTION_HEADED
K140716,K133583,SECTION_HEADED
K141942,K133200,SECTION_HEADED
K142114,K121342,SECTION_HEADED
K142114,K133904,SECTION_HEADED
K142157,K053445,SECTION_HEADED
K142185,K091994,SECTION_HEADED
K142531,K011182,SECTION_HEADED
K142531,K030383,SECTION_HEADED
K142531,K121250,SECTION_HEADED
K142531,K933881,SECTION_HEADED
K142531,K950099,SECTION_HEADED
K142531,K953915,SECTION_HEADED
K142531,K982011,SECTION_HEADED
K142531,K982320,SECTION_HEADED
K142531,K982511,SECTION_HEADED
K142531,K983583,SECTION_HEADED
K142531,K992168,SECTION_HEADED
K142550,K061223,SECTION_HEADED
K142550,K093552,SECTION_HEADED
K142550,K102380,SECTION_HEADED
K142550,K140735,SECTION_HEADED
K142550,K990030,SECTION_HEADED
K142574,K082282,SECTION_HEADED
K142574,K133794,SECTION_HEADED
K142574,K140324,SECTION_HEADED
K143009,K130610,SECTION_HEADED
K143009,K133184,SECTION_HEADED
K143204,K081832,SECTION_HEADED
K143204,K971783,SECTION_HEADED
K143366,K061223,SECTION_HEADED
K143366,K140735,SECTION_HEADED
K143716,K102834,SECTION_HEADED
K143716,K924141,SECTION_HEADED
K150119,K142157,SECTION_HEADED
K150125,K133844,SECTION_HEADED
K150125,K993714,SECTION_HEADED
K150229,K073480,SECTION_HEADED
K150229,K132866,SECTION_HEADED
K150302,K122382,SECTION_HEADED
K150302,K123688,SECTION_HEADED
K150302,K140676,SECTION_HEADED
K150539,K142741,SECTION_HEADED
K150570,K110522,SECTION_HEADED
K150570,K123656,SECTION_HEADED
K150570,K133698,SECTION_HEADED
K150650,K030377,SECTION_HEADED
K150650,K070638,SECTION_HEADED
K150650,K113346,SECTION_HEADED
K150650,K151031,SECTION_HEADED
K150650,K990965,SECTION_HEADED
K150655,K131548,SECTION_HEADED
K150822,K131833,SECTION_HEADED
K150822,K142838,SECTION_HEADED
K150850,K142157,SECTION_HEADED
K151224,K080828,SECTION_HEADED
K151224,K083073,SECTION_HEADED
K151224,K113593,SECTION_HEADED
K151488,K101790,SECTION_HEADED
K151488,K124058,SECTION_HEADED
K151705,K120467,PROXIMITY_ONLY
K151705,K131427,PROXIMITY_ONLY
K151769,K132502,SECTION_HEADED
K151770,K022623,SECTION_HEADED
K151770,K051971,SECTION_HEADED
K151819,K082310,SECTION_HEADED
K151819,K090064,SECTION_HEADED
