sample,device_knumber,predicate_knumber,tier,where_in_document
validation_199,K072326,K051089,PROXIMITY_ONLY,
validation_199,K233507,K162026,PROXIMITY_ONLY,
validation_199,K233507,K230563,SECTION_HEADED,
validation_199,K233507,K231947,PROXIMITY_ONLY,
bin11_25_45,K243839,K010081,SECTION_HEADED,compatibility
bin11_25_45,K243839,K013211,SECTION_HEADED,compatibility
bin11_25_45,K243839,K032964,SECTION_HEADED,compatibility
bin11_25_45,K243839,K041906,SECTION_HEADED,compatibility
bin11_25_45,K243839,K050398,SECTION_HEADED,compatibility
bin11_25_45,K243839,K051556,SECTION_HEADED,compatibility
bin11_25_45,K243839,K051682,SECTION_HEADED,compatibility
bin11_25_45,K243839,K060107,SECTION_HEADED,compatibility
bin11_25_45,K243839,K070479,SECTION_HEADED,compatibility
bin11_25_45,K243839,K071676,PROXIMITY_ONLY,compatibility
bin11_25_45,K243839,K100269,SECTION_HEADED,compatibility
bin11_25_45,K243839,K102975,PROXIMITY_ONLY,compatibility
bin11_25_45,K243839,K103012,SECTION_HEADED,compatibility
bin11_25_45,K243839,K121392,SECTION_HEADED,compatibility
bin11_25_45,K243839,K122798,PROXIMITY_ONLY,compatibility
bin11_25_45,K243839,K141960,SECTION_HEADED,compatibility
bin11_25_45,K243839,K173583,PROXIMITY_ONLY,compatibility
bin11_25_45,K243839,K182502,PROXIMITY_ONLY,compatibility
bin11_25_45,K243839,K963313,SECTION_HEADED,compatibility
bin11_25_45,K243839,K993082,SECTION_HEADED,compatibility
reference_22,K173964,K091196,PROXIMITY_ONLY,
reference_22,K192683,K181761,SECTION_HEADED,
reference_22,K200854,K181744,SECTION_HEADED,
reference_22,K223801,K141990,SECTION_HEADED,
reference_22,K223801,K162455,SECTION_HEADED,
reference_22,K231699,K191380,PROXIMITY_ONLY,
reference_22,K232792,K232628,PROXIMITY_ONLY,
reference_22,K253992,K152754,SECTION_HEADED,
